action_id,objective_id,similarity
A24,S3,0.44398266077041626
A24,S4,0.16544531285762787
A24,S5,0.317401260137558
A25,S1,0.1956755369901657
A25,S2,0.18263642489910126
A25,S3,0.41224437952041626
A25,S4,0.16977570950984955
A25,S5,0.11701912432909012
A26,S1,0.07551686465740204
A26,S2,0.09982224553823471
A26,S3,0.46586450934410095
A26,S4,0.3619188666343689
A26,S5,0.1918630301952362
A27,S1,0.18624144792556763
A27,S2,0.2734343409538269
A27,S3,0.4778478145599365
A27,S4,0.11666174978017807
A27,S5,0.2348128706216812
A28,S1,0.28308066725730896
A28,S2,0.3731931447982788
A28,S3,0.31833845376968384
A28,S4,0.12716612219810486
A28,S5,0.07452026754617691
A29,S1,0.13170218467712402
A29,S2,0.2155996561050415
A29,S3,0.4145585298538208
A29,S4,0.2968440055847168
A29,S5,0.28519880771636963
A30,S1,0.13059014081954956
A30,S2,0.1180339902639389
A30,S3,0.3396437168121338
A30,S4,0.16453494131565094
A30,S5,0.2212446630001068
A31,S1,0.4377651512622833
A31,S2,0.14936235547065735
A31,S3,0.1328594982624054
A31,S4,0.1965019404888153
A31,S5,0.1132877916097641
A32,S1,0.25185859203338623
A32,S2,0.18769778311252594
A32,S3,0.17824900150299072
A32,S4,0.1390865445137024
A32,S5,0.06709218770265579
A33,S1,0.38042187690734863
A33,S2,0.2791152596473694
A33,S3,0.11398348957300186
A33,S4,0.0701659694314003
A33,S5,0.06932743638753891
A34,S1,0.48632287979125977
A34,S2,0.28228461742401123
A34,S3,0.1935710608959198
A34,S4,0.19767050445079803
A34,S5,0.12334761023521423
A35,S1,0.4983513653278351
A35,S2,0.2985497713088989
A35,S3,0.3285401463508606
A35,S4,0.35773250460624695
A35,S5,0.17630985379219055
A36,S1,0.3086845874786377
A36,S2,0.09976940602064133
A36,S3,0.17130322754383087
A36,S4,0.27987009286880493
A36,S5,0.19687645137310028
A37,S1,0.10744094848632812
A37,S2,0.09048677235841751
A37,S3,0.1668310910463333
A37,S4,0.25181061029434204
A37,S5,0.0365016832947731
A38,S1,0.0811823159456253
A38,S2,0.13247065246105194
A38,S3,0.25271132588386536
A38,S4,0.44120121002197266
A38,S5,0.1490100771188736
A39,S1,0.38847893476486206
A39,S2,0.18492698669433594
A39,S3,0.14389756321907043
A39,S4,0.3782450258731842
A39,S5,0.08875836431980133
A40,S1,0.1912594735622406
A40,S2,0.1709357649087906
A40,S3,0.23099355399608612
A40,S4,0.27120935916900635
A40,S5,0.39542821049690247
A41,S1,0.39296388626098633
A41,S2,0.3794960081577301
A41,S3,0.33396703004837036
A41,S4,0.19582052528858185
A41,S5,0.14611704647541046
A42,S1,0.29995742440223694
A42,S2,0.16437111794948578
A42,S3,0.22254909574985504
A42,S4,0.11675316095352173
A42,S5,0.4533558487892151
A43,S1,0.02048478275537491
A43,S2,0.05905380845069885
A43,S3,0.1116204559803009
A43,S4,0.21558427810668945
A43,S5,0.08184514939785004
A44,S1,0.34974050521850586
A44,S2,0.22080007195472717
A44,S3,0.26847928762435913
A44,S4,0.17919921875
A44,S5,0.1920572817325592
A45,S1,-0.04916967824101448
A45,S2,0.09124042838811874
A45,S3,0.1693626046180725
A45,S4,0.16214622557163239
A45,S5,0.42838945984840393
A46,S1,0.32085728645324707
A46,S2,0.18920186161994934
A46,S3,0.23299247026443481
A46,S4,0.15071631968021393
A46,S5,0.42584091424942017
A47,S1,0.1730642020702362
A47,S2,0.09318538010120392
A47,S3,0.22771316766738892
A47,S4,0.1474609524011612
A47,S5,0.46524709463119507
A48,S1,0.07396136969327927
A48,S2,0.13440276682376862
A48,S3,0.27998581528663635
A48,S4,0.21632495522499084
A48,S5,0.5250079035758972
A49,S1,0.34579187631607056
A49,S2,0.20694199204444885
A49,S3,0.18611353635787964
A49,S4,0.14617794752120972
A49,S5,0.3809511959552765
A50,S1,0.18407903611660004
A50,S2,0.1729087233543396
A50,S3,0.22918595373630524
A50,S4,0.09254183620214462
A50,S5,0.38027310371398926
